Point ID,Point angle,X,Y
1,16.6174,0.0,1.453
2,19.5527,0.081,1.701
3,22.488,0.174,1.944
4,25.4233,0.28,2.182
5,28.3586,0.398,2.414
6,31.2939,0.527,2.64
7,34.2292,0.668,2.859
8,37.1646,0.82,3.07
9,40.0999,0.982,3.273
10,43.0352,1.155,3.468
11,45.9705,1.338,3.654
12,48.9058,1.529,3.83
13,51.8411,1.73,3.996
14,54.7764,1.939,4.151
15,57.7117,2.155,4.296
16,60.647,2.379,4.429
17,63.5823,2.609,4.551
18,66.5176,2.845,4.661
19,69.4529,3.086,4.759
20,72.3882,3.332,4.844
21,75.3235,3.582,4.916
22,78.2588,3.835,4.975
23,81.1941,4.092,5.022
24,84.1294,4.35,5.055
25,87.0647,4.609,5.075
26,90.0,4.87,5.082
27,92.9353,5.13,5.075
28,95.8706,5.389,5.055
29,98.8059,5.648,5.022
30,101.7412,5.904,4.975
31,104.6765,6.157,4.916
32,107.6118,6.407,4.844
33,110.5471,6.653,4.759
34,113.4824,6.894,4.661
35,116.4177,7.131,4.551
36,119.353,7.361,4.429
37,122.2883,7.584,4.296
38,125.2236,7.801,4.151
39,128.1589,8.009,3.996
40,131.0942,8.21,3.83
41,134.0295,8.402,3.654
42,136.9648,8.584,3.468
43,139.9001,8.757,3.273
44,142.8354,8.919,3.07
45,145.7708,9.071,2.859
46,148.7061,9.212,2.64
47,151.6414,9.341,2.414
48,154.5767,9.459,2.182
49,157.512,9.565,1.944
50,160.4473,9.658,1.701
51,163.3826,9.739,1.453
