Point ID,Point angle,X,Y,Point mutual distance,Parapet load,Arch self-weight
1,23.9523,0.0,1.383,0,0.27918,0.38775
2,29.2361,0.141,1.664,0.141,0.6078600000000001,0.84425
3,34.5199,0.307,1.931,0.166,0.7029000000000001,0.97625
4,39.8037,0.496,2.181,0.189,0.79398,1.10275
5,45.0875,0.708,2.413,0.21199999999999997,0.8811,1.22375
6,50.3714,0.941,2.625,0.23299999999999998,0.9583200000000001,1.331
7,55.6552,1.192,2.814,0.251,1.0256400000000003,1.4245000000000003
8,60.939,1.459,2.979,0.2670000000000001,1.0850400000000002,1.5070000000000001
9,66.2228,1.74,3.118,0.2809999999999999,1.1365199999999998,1.5784999999999996
10,71.5066,2.033,3.232,0.2929999999999999,1.1800799999999998,1.6389999999999996
11,76.7905,2.336,3.318,0.30299999999999994,1.2097800000000005,1.6802500000000005
12,82.0743,2.644,3.375,0.3080000000000003,1.2295800000000001,1.7077499999999999
13,87.3581,2.957,3.404,0.3129999999999997,1.2414599999999998,1.7242499999999994
14,92.6419,3.271,3.404,0.31400000000000006,1.2414600000000007,1.7242500000000005
15,97.9257,3.584,3.375,0.31300000000000017,1.23156,1.7104999999999997
16,103.2095,3.893,3.318,0.3089999999999997,1.2097800000000005,1.6802500000000005
17,108.4934,4.195,3.232,0.3020000000000005,1.1781000000000015,1.6362500000000018
18,113.7772,4.488,3.118,0.29300000000000015,1.1365199999999998,1.5784999999999996
19,119.061,4.769,2.979,0.2809999999999997,1.0870199999999992,1.5097499999999986
20,124.3448,5.037,2.814,0.2679999999999998,1.0276200000000004,1.4272500000000004
21,129.6286,5.288,2.625,0.25100000000000033,0.9563399999999994,1.328249999999999
22,134.9125,5.52,2.413,0.23199999999999932,0.87912,1.2209999999999999
23,140.1963,5.732,2.181,0.21200000000000063,0.7959600000000003,1.1055000000000004
24,145.4801,5.922,1.931,0.1899999999999995,0.7048799999999998,0.9789999999999996
25,150.7639,6.088,1.664,0.16600000000000037,0.6058800000000002,0.8415000000000001
26,156.0477,6.228,1.383,0.13999999999999968,0.6058800000000002,0.8415000000000001
